,ADI,AMD,AMKR,ENTG,FORM,FSLR,INTC,IPGP,KLIC,LSCC,MCHP,MPWR,MRVL,MU,OLED,ONTO,POWI,RMBS,SIMO,SLAB,SMTC,SPWR,STM,SWKS,TSEM,TSM,TXN,UCTT,UMC,XLNX,XPER
2021-08-30,166.3445698213,111.32,27.8302443739,120.6273602648,39.57,95.69,53.5699827271,172.0,69.6798054301,62.76,79.2842109358,501.705616937,61.8595953229,72.9787283324,208.2207171822,75.29,109.6014941754,24.65,72.9364076978,160.15,69.84,21.53,44.7159792827,185.4365841238,29.39,118.0006638828,190.2629295446,47.33,11.35,154.7815049276,21.4110812294
2021-08-31,162.3299056916,110.72,27.3718873237,120.0676972843,38.88,94.0,53.6891595519,170.68,69.8290340254,62.12,78.461501999,493.7152761575,61.0908430892,73.5173903512,208.1109697989,74.13,108.4831115818,23.8,74.1278545973,157.62,69.92,21.55,44.3169966436,182.8059952893,29.4,118.0204975938,189.746099772,46.24,11.37,155.3005375101,21.3113556531
2021-09-01,160.496907677,109.99,27.7007086858,119.3781125404,39.03,94.06,53.3018348714,169.84,70.7144570242,61.87,77.5889319145,494.8724291293,60.6216047128,73.5373407964,208.3803497397,75.12,108.1935303745,24.11,74.8228652887,159.0,70.96,22.22,44.5464116611,181.0124119931,29.1,119.4584416448,187.2017070455,45.04,11.85,154.1826211786,21.0620417124
2021-09-02,162.0011614825,109.2,28.1291728849,120.9971375912,39.52,94.87,53.3614232838,173.36,72.4355601566,62.82,77.9180154892,496.7927045351,61.2206324274,73.8066718058,208.1209468338,76.64,110.0009165303,24.41,74.8625801853,157.79,78.71,22.25,44.8157249425,182.6166726081,29.03,119.7856978771,188.2552446589,46.56,11.75,153.8532351167,20.9024807903
2021-09-03,161.8218464593,109.92,28.35835141,121.736692244,39.98,94.06,53.1429324384,174.22,73.2115488521,63.07,78.1972379163,500.8976049481,61.410324537,73.6271177995,208.7495000289,77.8,109.6713930875,24.42,74.8228652887,156.82,78.15,21.83,44.7658521126,182.3575994653,29.29,122.9392579339,188.722379261,46.72,12.5,155.6698491553,20.7528924259
2021-09-07,162.648687955,109.15,28.1986984816,121.6167644625,40.42,94.48,53.2819720673,175.59,73.6791317841,63.67,77.7983487348,496.1393121243,61.1407620654,73.4575390158,204.8185483006,79.29,108.8425917012,24.2,76.2823877406,148.03,77.5,21.96,44.9154706023,180.8031606086,29.14,123.6631883871,188.3049398293,46.78,12.25,154.4621002615,20.722974753
2021-09-08,163.0471657842,106.17,27.2806941432,119.7279019033,39.37,95.43,53.2025208508,174.24,70.8835827655,62.76,76.930764765,490.8523200979,60.2721718793,72.0909335235,202.8231413319,76.1,107.5045268124,23.76,74.2668567356,143.79,75.99,21.31,44.1374544559,177.0764930931,28.65,120.8765519848,187.6489635795,45.21,11.84,153.0247792639,20.0548133919
2021-09-09,168.1676058901,106.15,27.8893709328,119.6379560671,39.56,98.89,53.0336870157,174.24,72.9130916615,62.03,77.7684320462,487.1314747661,61.1507458607,72.6894468778,200.9574358162,76.54,107.4046712236,23.63,75.2398717035,144.51,74.87,21.67,44.2571492477,176.7974912471,29.08,121.6599835712,187.3209754546,46.29,12.14,153.8831793041,19.9052250274
2021-09-10,169.2933057578,105.2,27.7097613883,120.567396374,39.46,99.41,53.4706687065,172.49,71.9878743707,62.78,78.5213353762,492.807509602,61.0708754987,73.3178858998,199.8300308789,76.89,107.3547434293,23.6,75.3490876693,144.16,74.13,21.26,44.8356740745,176.6978477306,29.02,121.9475723814,189.4876848858,46.17,12.22,154.7715235318,19.755636663
2021-09-13,172.1523841827,104.8,28.9071583514,123.9953321297,39.32,106.17,54.6127799437,173.56,72.2763829883,64.13,80.1268643317,488.1788977147,62.2789147231,74.1657798184,200.139318959,77.5,109.1421584673,23.71,74.9717961511,145.57,75.98,22.21,45.2845295435,180.5739805207,29.31,122.5921679905,192.797383237,47.06,12.17,154.7315979485,20.4138254665
2021-09-14,172.8098726009,105.73,28.737527115,127.9829308659,39.18,105.16,54.1460040468,173.18,71.1521942371,65.2,80.1019337579,494.2439753601,62.1990443611,73.3079106772,196.7171960077,79.54,108.2035159334,23.65,74.6838631504,143.54,76.5,21.61,46.5014265929,177.4949958622,31.2,122.0665746477,193.920494089,46.23,11.96,155.2905561142,19.755636663
2021-09-15,173.4175512905,105.6,28.7973969631,131.0111073497,39.05,104.7,54.7418881706,172.29,70.614971294,65.68,80.8697954322,494.7726745628,62.358785085,73.6370930221,195.0310771192,79.05,109.3718263214,23.62,74.8327940128,144.55,76.4,21.69,47.1198496836,176.1398440384,31.0,120.4897946194,196.295923236,47.23,11.97,157.4665004023,20.1345938529
2021-09-16,172.5508620119,106.22,29.0169197397,132.9899157451,39.04,103.29,54.4538775107,171.72,68.0283423089,66.91,81.328517991,497.6057042524,63.1475049092,74.4450860504,199.3655449331,78.91,109.1521440262,23.56,75.210085531,146.67,78.43,21.76,47.0799514197,178.1028213126,31.1,120.2782442906,195.620068918,47.84,12.03,156.9574492156,20.0647859495
2021-09-17,170.8672931833,103.88,27.200867679,131.970529602,38.15,104.02,53.8877875932,166.57,67.2324564673,65.59,80.3263089225,496.2989194308,61.9993684563,74.1159037055,195.5004780115,77.07,107.0352055454,23.37,73.5420598717,144.17,77.65,22.48,45.7433595785,174.63522694,31.09,117.2511239773,195.053543975,46.6,11.73,153.4939048673,19.5661580681
2021-09-20,168.8350562541,101.55,25.8438177874,128.6825095915,37.8,95.69,52.6165681291,161.27,66.9339992767,64.09,78.0376822437,487.4207630091,60.5816695318,72.1906857492,190.5068514978,74.15,105.4874439203,23.16,72.5988310763,141.19,77.23,20.93,44.6960301508,169.8423737985,30.01,114.2140460314,191.4158574988,44.81,11.42,149.6610488737,18.9678046103
2021-09-21,169.9209083388,102.82,25.5245119306,129.9017753705,37.92,95.01,52.5073227064,160.66,64.9741303918,64.89,78.4265991956,491.4608229538,60.9311023653,71.9612556301,189.5480752071,74.37,105.1579204775,22.79,72.4896151105,141.02,77.85,21.09,45.2154030151,170.2409478643,30.11,114.4729444792,191.7836017601,44.7,11.38,150.9686117257,18.7484083425
